country_name_off,country_name_ltn,country_code_nuts,country_code_iso,country_code_wb_a3,method,company,income_group,incpp,current_term_start,current_term_end,sample_size,fieldwork_dates,main_religion,incumbent_party,
Österreich,Austria,AT,AUT,AUT,Online,Bilendi&Respondi,H,1329,12/1/2021,1/1/2025,2250,11/15/2023,Roman Catholicism,ÖVP (Austrian People's Party),
Belgique / België,Belgium,BE,BEL,BEL,Online,Bilendi&Respondi,H,49,10/1/2020,10/1/2028,1500,11/15/2023,Roman Catholicism,CD&V(Christen-Democratisch en Vlaams),
????????,Bulgaria,BU,BGR,BGR,Face-to-Face,Alpha Research,UM,9999,6/1/2023,6/1/2027,1500,11/15/2023,Christian,GERB (Citizens for European Development of Bulgaria),
??????,Cyprus,CY,CYP,CYP,Face-to-Face,Pulse Market Research,H,2652,2/1/2023,2/1/2028,1000,11/15/2023,Eastern Orthodox Christianity,DISY (Democratic Rally),
?esko,Czechia,CZ,CZE,CZE,Online,Ipsos,H,466,12/1/2021,12/1/2025,2000,11/15/2023,Roman Catholicism,ODS (Civic Democratic Party),
Deutschland,Germany,DE,DEU,DEU,Online,Bilendi&Respondi,H,383,12/1/2021,12/1/2025,7800,11/15/2023,Roman Catholicism,SPD (Social Democratic Party of Germany),
Danmark,Denmark,DK,DNK,DNK,Online,Bilendi&Respondi,H,379,6/1/2019,6/1/2027,2500,11/15/2023,Evangelical Lutheranism,Social Democrats,
Eesti,Estonia,EE,EST,EST,Online,Ipsos,H,821,1/1/2021,1/1/2026,1000,11/15/2023,Orthodoxy,Reform Party,
??????,Greece,EL,GRC,GRC,Face-to-Face,D3,H,794,6/1/2023,6/1/2027,2000,11/15/2023,Greek Orthodoxy,New Democracy,
España,Spain,ES,ESP,ESP,Online,Ipsos,H,1338,1/1/2020,1/1/2024,3500,11/15/2023,Roman Catholicism,PSOE (Spanish Socialist Workers' Party),
Suomi / Finland,Finland,FI,FIN,FIN,Online,Ipsos,H,495,6/1/2023,6/1/2027,2000,11/15/2023,Lutheranism,NCP (National Coalition Party),
France,France,FR,FRA,FRA,Online,Ipsos,H,5857,5/1/2022,5/1/2027,6165,11/15/2023,Roman Catholicism,RE (Renaissance),
Hrvatska,Croatia,HR,HRV,HRV,Face-to-Face,ACT,H,1431,7/1/2020,7/1/2024,2000,11/15/2023,Roman Catholicism,HDZ (Croatian Democratic Union),
Magyarország,Hungary,HU,HUN,HUN,Online,Talk Online,H,1691,4/1/2022,4/1/2027,1750,11/15/2023,Catholicism,Fidesz – Hungarian Civic Alliance,
Éire / Ireland,Ireland,IE,IRL,IRL,Online,Red C Research,H,1288,12/1/2022,12/1/2025,1350,11/15/2023,Roman Catholicism,Fianna Fail,
Italia,Italy,IT,ITA,ITA,Online,Bilendi&Respondi,H,2280,10/1/2022,10/1/2027,3750,11/15/2023,Christianity,Brothers of Italy,
Lietuva,Lithuania,LT,LTU,LTU,Face-to-Face,ACT,H,193,11/1/2020,11/1/2024,1500,11/15/2023,Roman Catholicism,Homeland Union,
Luxembourg,Luxembourg,LU,LUX,LUX,Online,ILRES,H,300,12/1/2020,12/1/2023,500,11/15/2023,Roman Catholicism,DP (Democratic Party),
Latvija,Latvia,LV,LVA,LVA,Face-to-Face,ACT,H,9999,1/1/2019,8/1/2023,1000,11/15/2023,Lutheranism,JV (New Unity),
Malta,Malta,MT,MLT,MLT,Face-to-Face,MISCO International,H,808,1/1/2020,1/1/2025,500,11/15/2023,Roman Catholicism,PL (Labour Party),
Nederland,Netherlands,NL,NLD,NLD,Online,Bilendi&Respondi,H,828,10/1/2021,11/1/2023,3000,11/15/2023,Roman Catholicism,VVD (People's Party for Freedom and Democracy),
Polska,Poland,PL,POL,POL,Face-to-Face,ACT,H,1565,11/1/2019,11/1/2023,5250,11/15/2023,Catholicism,PiS (Law and Justice),
Portugal,Portugal,PT,PRT,PRT,Face-to-Face,Intercampus,H,655,3/1/2022,3/1/2026,1500,11/15/2023,Roman Catholicism,PS (Socialist Party),
România,Romania,RO,ROU,ROU,Face-to-Face,ACT,H,120,6/1/2023,6/1/2027,3000,11/15/2023,Romanian Orthodoxy,PNL (National Liberal Party),
Sverige,Sweden,SE,SWE,SWE,Online,Ipsos,H,690,10/1/2022,10/1/2026,1500,11/15/2023,Lutheranism,Moderate Party,
Slovenija,Slovenia,SI,SVN,SVN,Online,Ipsos,H,6132,6/1/2022,6/1/2027,1000,11/15/2023,Catholicism,GS (Freedom Movement),
Slovensko,Slovakia,SK,SVK,SVK,Online,Talk Online,H,2897,5/1/2023,5/1/2024,2200,11/15/2023,Roman Catholicism,Smer-SD (Direction – Slovak Social Democracy),
